function,mode,fan,temp_c,coolix,xt_frame
Power off,off,-,-,0xB27BE0,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xBA, 0xBB, 0xEB, 0xEE, 0xAA, 0xAE, 0xEE, 0xAE, 0xAA, 0xEA, 0xEE, 0xEE, 0xFE}"
Toggle swing,swing,-,-,0xB26BE0,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xBA, 0xEB, 0xBA, 0xBB, 0xBA, 0xAE, 0xEE, 0xAE, 0xAA, 0xEA, 0xEE, 0xEE, 0xFE}"
Toggle display LED,led,-,-,0xB5F5A5,"{0x00, 0xFF, 0xAE, 0xBB, 0xAE, 0xEB, 0xEA, 0xBA, 0xEE, 0xEE, 0xBA, 0xAE, 0xEA, 0xBA, 0xAE, 0xAB, 0xEB, 0xBA, 0xEE, 0xBA, 0xFE}"
Toggle silence/feel,silence,-,-,0xB5F5B6,"{0x00, 0xFF, 0xAE, 0xBB, 0xAE, 0xEB, 0xEA, 0xBA, 0xEE, 0xEE, 0xBA, 0xAE, 0xEA, 0xBA, 0xAE, 0xBB, 0xEE, 0xEA, 0xEA, 0xEA, 0xFE}"
Fan only,fan_only,auto,-,0xB2BFE4,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAE, 0xBB, 0xBB, 0xBB, 0xAE, 0xAA, 0xEE, 0xAE, 0xAE, 0xAA, 0xBB, 0xEE, 0xFE}"
Fan only,fan_only,low,-,0xB29FE4,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAE, 0xEE, 0xEE, 0xAE, 0xBB, 0xAA, 0xEE, 0xAE, 0xAE, 0xAA, 0xBB, 0xEE, 0xFE}"
Fan only,fan_only,medium,-,0xB25FE4,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xBA, 0xEE, 0xEE, 0xEE, 0xBA, 0xAA, 0xEE, 0xAE, 0xAE, 0xAA, 0xBB, 0xEE, 0xFE}"
Fan only,fan_only,high,-,0xB23FE4,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xEA, 0xEE, 0xEE, 0xEE, 0xAE, 0xAA, 0xEE, 0xAE, 0xAE, 0xAA, 0xBB, 0xEE, 0xFE}"
Cool,cool,auto,17,0xB2BF00,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAE, 0xBB, 0xBB, 0xBB, 0xAE, 0xAA, 0xAA, 0xAA, 0xEE, 0xEE, 0xEE, 0xEE, 0xFE}"
Cool,cool,auto,18,0xB2BF10,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAE, 0xBB, 0xBB, 0xBB, 0xAE, 0xAA, 0xAA, 0xAB, 0xBA, 0xBB, 0xEE, 0xEE, 0xFE}"
Cool,cool,auto,19,0xB2BF30,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAE, 0xBB, 0xBB, 0xBB, 0xAE, 0xAA, 0xEA, 0xAE, 0xEA, 0xAE, 0xEE, 0xEE, 0xFE}"
Cool,cool,auto,20,0xB2BF20,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAE, 0xBB, 0xBB, 0xBB, 0xAE, 0xAA, 0xEA, 0xAA, 0xBA, 0xEB, 0xEE, 0xEE, 0xFE}"
Cool,cool,auto,21,0xB2BF60,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAE, 0xBB, 0xBB, 0xBB, 0xAE, 0xAA, 0xBA, 0xAB, 0xEA, 0xEA, 0xEE, 0xEE, 0xFE}"
Cool,cool,auto,22,0xB2BF70,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAE, 0xBB, 0xBB, 0xBB, 0xAE, 0xAA, 0xBA, 0xBB, 0xAA, 0xAB, 0xEE, 0xEE, 0xFE}"
Cool,cool,auto,23,0xB2BF50,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAE, 0xBB, 0xBB, 0xBB, 0xAE, 0xAA, 0xBA, 0xAE, 0xEA, 0xBA, 0xEE, 0xEE, 0xFE}"
Cool,cool,auto,24,0xB2BF40,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAE, 0xBB, 0xBB, 0xBB, 0xAE, 0xAA, 0xBA, 0xAA, 0xBA, 0xEE, 0xEE, 0xEE, 0xFE}"
Cool,cool,auto,25,0xB2BFC0,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAE, 0xBB, 0xBB, 0xBB, 0xAE, 0xAA, 0xEE, 0xAA, 0xAA, 0xEE, 0xEE, 0xEE, 0xFE}"
Cool,cool,auto,26,0xB2BFD0,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAE, 0xBB, 0xBB, 0xBB, 0xAE, 0xAA, 0xEE, 0xBA, 0xAA, 0xBA, 0xEE, 0xEE, 0xFE}"
Cool,cool,auto,27,0xB2BF90,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAE, 0xBB, 0xBB, 0xBB, 0xAE, 0xAA, 0xAE, 0xAE, 0xAA, 0xBB, 0xEE, 0xEE, 0xFE}"
Cool,cool,auto,28,0xB2BF80,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAE, 0xBB, 0xBB, 0xBB, 0xAE, 0xAA, 0xAE, 0xAA, 0xEA, 0xEE, 0xEE, 0xEE, 0xFE}"
Cool,cool,auto,29,0xB2BFA0,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAE, 0xBB, 0xBB, 0xBB, 0xAE, 0xAA, 0xAE, 0xAB, 0xAA, 0xEB, 0xEE, 0xEE, 0xFE}"
Cool,cool,auto,30,0xB2BFB0,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAE, 0xBB, 0xBB, 0xBB, 0xAE, 0xAA, 0xAE, 0xBB, 0xAA, 0xAE, 0xEE, 0xEE, 0xFE}"
Cool,cool,low,17,0xB29F00,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAE, 0xEE, 0xEE, 0xAE, 0xBB, 0xAA, 0xAA, 0xAA, 0xEE, 0xEE, 0xEE, 0xEE, 0xFE}"
Cool,cool,low,18,0xB29F10,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAE, 0xEE, 0xEE, 0xAE, 0xBB, 0xAA, 0xAA, 0xAB, 0xBA, 0xBB, 0xEE, 0xEE, 0xFE}"
Cool,cool,low,19,0xB29F30,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAE, 0xEE, 0xEE, 0xAE, 0xBB, 0xAA, 0xEA, 0xAE, 0xEA, 0xAE, 0xEE, 0xEE, 0xFE}"
Cool,cool,low,20,0xB29F20,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAE, 0xEE, 0xEE, 0xAE, 0xBB, 0xAA, 0xEA, 0xAA, 0xBA, 0xEB, 0xEE, 0xEE, 0xFE}"
Cool,cool,low,21,0xB29F60,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAE, 0xEE, 0xEE, 0xAE, 0xBB, 0xAA, 0xBA, 0xAB, 0xEA, 0xEA, 0xEE, 0xEE, 0xFE}"
Cool,cool,low,22,0xB29F70,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAE, 0xEE, 0xEE, 0xAE, 0xBB, 0xAA, 0xBA, 0xBB, 0xAA, 0xAB, 0xEE, 0xEE, 0xFE}"
Cool,cool,low,23,0xB29F50,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAE, 0xEE, 0xEE, 0xAE, 0xBB, 0xAA, 0xBA, 0xAE, 0xEA, 0xBA, 0xEE, 0xEE, 0xFE}"
Cool,cool,low,24,0xB29F40,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAE, 0xEE, 0xEE, 0xAE, 0xBB, 0xAA, 0xBA, 0xAA, 0xBA, 0xEE, 0xEE, 0xEE, 0xFE}"
Cool,cool,low,25,0xB29FC0,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAE, 0xEE, 0xEE, 0xAE, 0xBB, 0xAA, 0xEE, 0xAA, 0xAA, 0xEE, 0xEE, 0xEE, 0xFE}"
Cool,cool,low,26,0xB29FD0,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAE, 0xEE, 0xEE, 0xAE, 0xBB, 0xAA, 0xEE, 0xBA, 0xAA, 0xBA, 0xEE, 0xEE, 0xFE}"
Cool,cool,low,27,0xB29F90,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAE, 0xEE, 0xEE, 0xAE, 0xBB, 0xAA, 0xAE, 0xAE, 0xAA, 0xBB, 0xEE, 0xEE, 0xFE}"
Cool,cool,low,28,0xB29F80,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAE, 0xEE, 0xEE, 0xAE, 0xBB, 0xAA, 0xAE, 0xAA, 0xEA, 0xEE, 0xEE, 0xEE, 0xFE}"
Cool,cool,low,29,0xB29FA0,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAE, 0xEE, 0xEE, 0xAE, 0xBB, 0xAA, 0xAE, 0xAB, 0xAA, 0xEB, 0xEE, 0xEE, 0xFE}"
Cool,cool,low,30,0xB29FB0,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xAE, 0xEE, 0xEE, 0xAE, 0xBB, 0xAA, 0xAE, 0xBB, 0xAA, 0xAE, 0xEE, 0xEE, 0xFE}"
Cool,cool,medium,17,0xB25F00,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xBA, 0xEE, 0xEE, 0xEE, 0xBA, 0xAA, 0xAA, 0xAA, 0xEE, 0xEE, 0xEE, 0xEE, 0xFE}"
Cool,cool,medium,18,0xB25F10,"{0x00, 0xFF, 0xAE, 0xBB, 0xBA, 0xBA, 0xBA, 0xEB, 0xBA, 0xEE, 0xEE, 0xEE, 0xBA, 0xAA, 0xAA, 0xAB, 0xBA, 0xBB, 0xEE, 0xEE, 0xFE}"
